,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
268,Arizona State University Campus Immersion,Public,Criminal Justice and Corrections.,Bachelor's Degree,56419,66898,52553
269,Arizona State University Campus Immersion,Public,Criminal Justice and Corrections.,Master's Degree,67190,81887,58029
270,Arizona State University Campus Immersion,Public,Public Administration.,Master's Degree,76572,76704,75898
271,Arizona State University Campus Immersion,Public,Public Policy Analysis.,Bachelor's Degree,62990,70695,53506
272,Arizona State University Campus Immersion,Public,Social Work.,Bachelor's Degree,48856,51225,48715
273,Arizona State University Campus Immersion,Public,Social Work.,Master's Degree,60407,66345,59303
274,Arizona State University Campus Immersion,Public,Anthropology.,Bachelor's Degree,54391,61870,52588
275,Arizona State University Campus Immersion,Public,Economics.,Bachelor's Degree,74632,69384,78422
276,Arizona State University Campus Immersion,Public,Geography and Cartography.,Bachelor's Degree,59314,63605,56620
277,Arizona State University Campus Immersion,Public,Political Science and Government.,Bachelor's Degree,68231,68608,66595
278,Arizona State University Campus Immersion,Public,Sociology.,Bachelor's Degree,49636,52794,47534
279,Arizona State University Campus Immersion,Public,"Visual and Performing Arts, General.",Bachelor's Degree,47489,47448,54573
280,Arizona State University Campus Immersion,Public,Design and Applied Arts.,Bachelor's Degree,63188,67108,60333
281,Arizona State University Campus Immersion,Public,Film/Video and Photographic Arts.,Bachelor's Degree,48485,46393,48536
282,Arizona State University Campus Immersion,Public,Fine and Studio Arts.,Bachelor's Degree,43348,43352,43374
283,Arizona State University Campus Immersion,Public,Music.,Master's Degree,28025,22412,35799
284,Arizona State University Campus Immersion,Public,Music.,Doctoral Degree,46879,56968,43324
285,Arizona State University Campus Immersion,Public,Health/Medical Preparatory Programs.,Bachelor's Degree,55479,62134,54989
286,Arizona State University Campus Immersion,Public,Public Health.,Master's Degree,84190,88015,81641
287,Arizona State University Campus Immersion,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,91152,110353,89716
288,Arizona State University Campus Immersion,Public,"Business/Commerce, General.",Master's Degree,68021,71950,66371
289,Arizona State University Campus Immersion,Public,"Business Administration, Management and Operations.",Bachelor's Degree,79619,84955,76293
290,Arizona State University Campus Immersion,Public,"Business Administration, Management and Operations.",Master's Degree,135798,139806,123039
291,Arizona State University Campus Immersion,Public,Accounting and Related Services.,Bachelor's Degree,82689,85904,74809
292,Arizona State University Campus Immersion,Public,Accounting and Related Services.,Master's Degree,90953,91136,88197
293,Arizona State University Campus Immersion,Public,Finance and Financial Management Services.,Bachelor's Degree,90586,92845,84392
294,Arizona State University Campus Immersion,Public,International Business.,Undergraduate Certificate or Diploma,88131,102817,74225
295,Arizona State University Campus Immersion,Public,Management Sciences and Quantitative Methods.,Master's Degree,130574,139860,117973
296,Arizona State University Campus Immersion,Public,Marketing.,Bachelor's Degree,80113,86305,72661
297,Arizona State University Campus Immersion,Public,Taxation.,Master's Degree,102512,103389,103992
298,Arizona State University Campus Immersion,Public,"Business, Management, Marketing, and Related Support Services, Other.",Bachelor's Degree,73457,75787,69793
299,Arizona State University Campus Immersion,Public,History.,Bachelor's Degree,50922,51809,50765
300,Arizona Western College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,44434,47571,43729
301,Arizona Western College,Public,Criminal Justice and Corrections.,Associate's Degree,44773,49208,31556
302,Arizona Western College,Public,"Business Administration, Management and Operations.",Associate's Degree,50558,53109,40874
303,University of Arizona,Public,Agricultural Business and Management.,Bachelor's Degree,74566,73118,70700
304,University of Arizona,Public,Natural Resources Conservation and Research.,Bachelor's Degree,46607,53671,46359
305,University of Arizona,Public,Area Studies.,Bachelor's Degree,52408,59654,49517
306,University of Arizona,Public,Communication and Media Studies.,Bachelor's Degree,71141,71554,71106
307,University of Arizona,Public,Journalism.,Bachelor's Degree,59230,59650,57081
308,University of Arizona,Public,Computer Science.,Bachelor's Degree,115435,117408,89342
309,University of Arizona,Public,"Education, General.",Master's Degree,50100,51839,49683
310,University of Arizona,Public,"Romance Languages, Literatures, and Linguistics.",Bachelor's Degree,47583,46603,46896
311,University of Arizona,Public,Law.,First Professional Degree,98007,98741,91033
312,University of Arizona,Public,"English Language and Literature, General.",Bachelor's Degree,48554,51980,46090
313,University of Arizona,Public,Rhetoric and Composition/Writing Studies.,Bachelor's Degree,47986,47627,47368
314,University of Arizona,Public,"Biology, General.",Bachelor's Degree,60232,48422,65548
315,University of Arizona,Public,Cell/Cellular Biology and Anatomical Sciences.,Bachelor's Degree,66082,65988,64307
316,University of Arizona,Public,Microbiological Sciences and Immunology.,Bachelor's Degree,54765,62360,53537
317,University of Arizona,Public,"Physiology, Pathology and Related Sciences.",Bachelor's Degree,65726,65567,64808
318,University of Arizona,Public,Mathematics.,Bachelor's Degree,81236,86898,60465
319,University of Arizona,Public,"Multi-/Interdisciplinary Studies, General.",Bachelor's Degree,53789,57444,52718
320,University of Arizona,Public,Nutrition Sciences.,Bachelor's Degree,56205,45076,58005
321,University of Arizona,Public,Philosophy.,Bachelor's Degree,56983,54625,63019
322,University of Arizona,Public,"Science Technologies/Technicians, Other.",Bachelor's Degree,59548,68656,45093
323,University of Arizona,Public,"Psychology, General.",Bachelor's Degree,51974,55233,50880
324,University of Arizona,Public,Homeland Security.,Bachelor's Degree,60515,69521,46994
325,University of Arizona,Public,Public Administration.,Bachelor's Degree,57287,68129,52204
326,University of Arizona,Public,Public Administration.,Master's Degree,68860,72490,61705
327,University of Arizona,Public,Economics.,Bachelor's Degree,70028,78918,52582
328,University of Arizona,Public,Geography and Cartography.,Master's Degree,70004,72244,68421
329,University of Arizona,Public,Political Science and Government.,Bachelor's Degree,64459,64056,64428
330,University of Arizona,Public,Sociology.,Bachelor's Degree,48571,55593,46902
331,University of Arizona,Public,Fine and Studio Arts.,Bachelor's Degree,36573,37315,34840
332,University of Arizona,Public,Medicine.,First Professional Degree,172567,165600,174891
333,University of Arizona,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",First Professional Degree,143107,148870,140972
334,University of Arizona,Public,Public Health.,Bachelor's Degree,58292,54418,59375
335,University of Arizona,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,104234,121812,102289
336,University of Arizona,Public,"Business Administration, Management and Operations.",Bachelor's Degree,71600,83125,65996
337,University of Arizona,Public,"Business Administration, Management and Operations.",Master's Degree,129743,135573,120512
338,University of Arizona,Public,Accounting and Related Services.,Bachelor's Degree,92207,98791,83363
339,University of Arizona,Public,Accounting and Related Services.,Master's Degree,95731,96599,91218
340,University of Arizona,Public,Finance and Financial Management Services.,Bachelor's Degree,106340,109363,100094
341,University of Arizona,Public,Human Resources Management and Services.,Bachelor's Degree,76592,79839,75709
342,University of Arizona,Public,Management Information Systems and Services.,Bachelor's Degree,92686,93791,92805
343,University of Arizona,Public,Marketing.,Bachelor's Degree,89951,93453,89382
344,University of Arizona,Public,History.,Bachelor's Degree,49272,46138,50613
345,Southwest University of Visual Arts-Tucson,"Private, nonprofit",Design and Applied Arts.,Bachelor's Degree,33305,33017,34350
346,Central Arizona College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Undergraduate Certificate or Diploma,46570,50845,45791
347,Cochise County Community College District,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,38122,45288,33846
348,Cochise County Community College District,Public,"Intelligence, Command Control and Information Operations.",Associate's Degree,76577,76457,69524
349,Empire Beauty School-Flagstaff,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,22409,22239,22484
350,Empire Beauty School-Chandler,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,22409,22239,22484
351,Avalon Institute-Mesa,"Private, for-profit",Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,29008,29008,29016
352,Eastern Arizona College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,40032,41551,37782
353,Embry-Riddle Aeronautical University-Prescott,"Private, nonprofit","Aerospace, Aeronautical and Astronautical Engineering.",Bachelor's Degree,97915,94766,104356
354,Embry-Riddle Aeronautical University-Prescott,"Private, nonprofit",Air Transportation.,Bachelor's Degree,83811,86602,72040
355,Embry-Riddle Aeronautical University-Prescott,"Private, nonprofit",Air Transportation.,Master's Degree,105418,111592,92655
356,Embry-Riddle Aeronautical University-Prescott,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,85780,85830,82588
357,Glendale Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,44180,48263,43631
358,Glendale Community College,Public,Natural Sciences.,Undergraduate Certificate or Diploma,53855,70779,40929
359,Glendale Community College,Public,Fine and Studio Arts.,Undergraduate Certificate or Diploma,47136,48481,45959
360,Glendale Community College,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,47724,51241,44104
