,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
4702,Frostburg State University,Public,"Education, General.",Master's Degree,53816,64250,51739
4703,Frostburg State University,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,46364,48195,47726
4704,Frostburg State University,Public,Criminal Justice and Corrections.,Bachelor's Degree,64259,66166,52478
4705,Frostburg State University,Public,"Business Administration, Management and Operations.",Master's Degree,103014,99763,99777
4706,Garrett College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,31738,40058,30547
4707,Hagerstown Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,41385,42337,41382
4708,Hagerstown Community College,Public,"Business/Commerce, General.",Associate's Degree,46505,50240,46071
4709,Harford Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,43965,50455,42625
4710,Harford Community College,Public,"Business/Commerce, General.",Associate's Degree,64427,70864,52655
4711,Hood College,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,64348,68152,62680
4712,Howard Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,51376,54910,50070
4713,Johns Hopkins University,"Private, nonprofit","Education, General.",Master's Degree,77888,81095,76719
4714,Johns Hopkins University,"Private, nonprofit",Biomedical/Medical Engineering.,Bachelor's Degree,118167,123166,102971
4715,Johns Hopkins University,"Private, nonprofit",Systems Engineering.,Master's Degree,155023,161690,141501
4716,Johns Hopkins University,"Private, nonprofit",Biotechnology.,Master's Degree,116723,116045,117375
4717,Johns Hopkins University,"Private, nonprofit",Economics.,Master's Degree,139377,147934,113529
4718,Johns Hopkins University,"Private, nonprofit",International Relations and National Security Studies.,Master's Degree,113563,113692,113562
4719,Johns Hopkins University,"Private, nonprofit",Political Science and Government.,Master's Degree,126228,126166,121305
4720,Johns Hopkins University,"Private, nonprofit",Health and Medical Administrative Services.,Master's Degree,123655,111578,127022
4721,Johns Hopkins University,"Private, nonprofit",Medicine.,Graduate/Professional Certificate,132579,133943,132154
4722,Johns Hopkins University,"Private, nonprofit",Mental and Social Health Services and Allied Professions.,Master's Degree,71224,82928,70127
4723,Johns Hopkins University,"Private, nonprofit",Public Health.,Bachelor's Degree,89081,89937,89227
4724,Johns Hopkins University,"Private, nonprofit",Public Health.,Post-baccalaureate Certificate,95770,108096,94382
4725,Johns Hopkins University,"Private, nonprofit",Public Health.,Master's Degree,102525,141961,97846
4726,Johns Hopkins University,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,95942,102803,95825
4727,Johns Hopkins University,"Private, nonprofit","Business/Commerce, General.",Master's Degree,152358,158816,149895
4728,Johns Hopkins University,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,141305,147565,128225
4729,Lincoln College of Technology-Columbia,"Private, for-profit",Culinary Arts and Related Services.,Undergraduate Certificate or Diploma,33904,42067,26601
4730,Lincoln College of Technology-Columbia,"Private, for-profit",Vehicle Maintenance and Repair Technologies.,Undergraduate Certificate or Diploma,43226,43909,29918
4731,Loyola University Maryland,"Private, nonprofit",Communication and Media Studies.,Bachelor's Degree,73116,63641,75347
4732,Loyola University Maryland,"Private, nonprofit","Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,53304,58048,50715
4733,Loyola University Maryland,"Private, nonprofit",Political Science and Government.,Bachelor's Degree,73440,74341,75030
4734,Loyola University Maryland,"Private, nonprofit","Social Sciences, Other.",Bachelor's Degree,63145,75123,56962
4735,Loyola University Maryland,"Private, nonprofit","Business Administration, Management and Operations.",Bachelor's Degree,91469,94301,90365
4736,Loyola University Maryland,"Private, nonprofit","Business Administration, Management and Operations.",Master's Degree,137437,143012,129298
4737,Loyola University Maryland,"Private, nonprofit",Accounting and Related Services.,Bachelor's Degree,106160,108806,105948
4738,University of Maryland Global Campus,Public,Natural Resources Conservation and Research.,Bachelor's Degree,85980,90423,77106
4739,University of Maryland Global Campus,Public,Communication and Media Studies.,Bachelor's Degree,71533,66425,71783
4740,University of Maryland Global Campus,Public,"Computer and Information Sciences, General.",Bachelor's Degree,103940,110454,80890
4741,University of Maryland Global Campus,Public,Information Science/Studies.,Bachelor's Degree,98155,101382,86053
4742,University of Maryland Global Campus,Public,Information Science/Studies.,Master's Degree,126179,128545,114106
4743,University of Maryland Global Campus,Public,Information Science/Studies.,Graduate/Professional Certificate,125598,140110,95542
4744,University of Maryland Global Campus,Public,Computer/Information Technology Administration and Management.,Bachelor's Degree,102809,108063,100491
4745,University of Maryland Global Campus,Public,Computer/Information Technology Administration and Management.,Master's Degree,129716,135165,120695
4746,University of Maryland Global Campus,Public,Computer/Information Technology Administration and Management.,Graduate/Professional Certificate,117273,121363,116321
4747,University of Maryland Global Campus,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,62964,63122,63346
4748,University of Maryland Global Campus,Public,"English Language and Literature, General.",Bachelor's Degree,50536,63515,44624
4749,University of Maryland Global Campus,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,59647,66551,50307
4750,University of Maryland Global Campus,Public,Biotechnology.,Master's Degree,107212,111089,105061
4751,University of Maryland Global Campus,Public,"Psychology, General.",Bachelor's Degree,56213,65187,55733
4752,University of Maryland Global Campus,Public,Criminal Justice and Corrections.,Bachelor's Degree,68673,69220,68046
4753,University of Maryland Global Campus,Public,Security Science and Technology.,Master's Degree,111361,131788,103203
4754,University of Maryland Global Campus,Public,Health and Medical Administrative Services.,Master's Degree,89262,112895,86239
4755,University of Maryland Global Campus,Public,Public Health.,Master's Degree,90672,89381,89928
4756,University of Maryland Global Campus,Public,"Business Administration, Management and Operations.",Undergraduate Certificate or Diploma,81662,92290,81964
4757,University of Maryland Global Campus,Public,"Business Administration, Management and Operations.",Bachelor's Degree,79183,88969,74092
4758,University of Maryland Global Campus,Public,"Business Administration, Management and Operations.",Master's Degree,101015,108273,97701
4759,University of Maryland Global Campus,Public,"Business Administration, Management and Operations.",Graduate/Professional Certificate,89321,93273,89263
4760,University of Maryland Global Campus,Public,Accounting and Related Services.,Bachelor's Degree,77347,77511,77459
4761,University of Maryland Global Campus,Public,Accounting and Related Services.,Master's Degree,90488,91257,92847
4762,University of Maryland Global Campus,Public,Finance and Financial Management Services.,Bachelor's Degree,81378,85146,73141
4763,University of Maryland Global Campus,Public,Human Resources Management and Services.,Bachelor's Degree,70745,75975,69555
4764,University of Maryland Global Campus,Public,Management Sciences and Quantitative Methods.,Graduate/Professional Certificate,87471,75135,90682
4765,University of Maryland Global Campus,Public,Marketing.,Bachelor's Degree,61355,76822,59280
4766,"University of Maryland, Baltimore",Public,Law.,First Professional Degree,109328,114561,106045
4767,"University of Maryland, Baltimore",Public,Social Work.,Master's Degree,70072,73418,69709
4768,"University of Maryland, Baltimore",Public,Dentistry.,First Professional Degree,166307,184267,154580
4769,"University of Maryland, Baltimore",Public,Medicine.,First Professional Degree,159922,169210,148715
4770,"University of Maryland, Baltimore",Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",First Professional Degree,146531,154052,141141
4771,"University of Maryland, Baltimore",Public,Rehabilitation and Therapeutic Professions.,First Professional Degree,80970,82020,80966
4772,"University of Maryland, Baltimore",Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,88499,92822,87342
4773,"University of Maryland, Baltimore",Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,117561,159651,114501
4774,University of Maryland-Baltimore County,Public,Natural Resources Conservation and Research.,Bachelor's Degree,53247,52724,58638
4775,University of Maryland-Baltimore County,Public,Communication and Media Studies.,Bachelor's Degree,58322,68516,54621
4776,University of Maryland-Baltimore County,Public,Information Science/Studies.,Bachelor's Degree,99498,103057,96975
4777,University of Maryland-Baltimore County,Public,Information Science/Studies.,Master's Degree,131013,129483,134067
4778,University of Maryland-Baltimore County,Public,Computer/Information Technology Administration and Management.,Bachelor's Degree,74894,75626,67603
4779,University of Maryland-Baltimore County,Public,"Biology, General.",Bachelor's Degree,65647,65955,64780
4780,University of Maryland-Baltimore County,Public,Mathematics.,Bachelor's Degree,86534,93170,77638
4781,University of Maryland-Baltimore County,Public,"Multi/Interdisciplinary Studies, Other.",Master's Degree,121540,127906,118712
